Raman shift [1/cm],Intensity
596.215,60.486929
594.744,63.962155
593.273,70.141632
591.802,73.114663
590.331,75.813222
588.86,77.224187
587.389,77.742223
585.918,77.327982
584.447,78.570073
582.975,79.426988
581.504,78.403455
580.033,72.307655
578.562,71.408193
577.091,74.504062
575.62,75.769229
574.149,76.344259
572.678,77.0348
571.207,74.191564
569.736,72.13177
568.264,71.395756
566.793,71.334952
565.322,71.782667
563.851,72.809778
562.38,74.274316
560.909,74.763868
559.438,75.787403
557.967,78.513417
556.496,80.470254
555.025,77.37594
553.553,81.689627
552.082,81.983728
550.611,79.742631
549.14,75.946705
547.669,72.826675
546.198,72.090891
544.727,75.709435
543.256,76.337325
541.785,78.52815
540.314,79.626749
538.842,83.248126
537.371,85.681892
535.9,85.89059
534.429,86.261805
532.958,86.539
531.487,82.527788
530.016,79.398113
528.545,76.602823
527.074,79.322498
525.603,76.398815
524.131,85.977964
522.66,73.830861
521.189,84.526691
519.718,79.214826
518.247,94.930559
516.776,98.146626
515.305,96.059154
513.834,92.062632
512.363,94.261734
510.892,92.368794
509.42,91.327318
507.949,88.781825
506.478,88.943193
505.007,91.050784
503.536,93.960789
502.065,96.607957
500.594,99.809072
499.123,99.427675
497.652,105.05107
496.181,108.62382
494.709,109.97178
493.238,109.83249
491.767,109.14121
490.296,107.72485
488.825,105.50544
487.354,102.47034
485.883,98.710417
484.412,94.935031
482.941,91.903041
481.47,88.527745
479.998,86.944834
478.527,88.736881
477.056,89.269471
475.585,89.481598
474.114,86.643322
472.643,93.051874
471.172,73.088543
469.701,74.310728
468.23,58.3202
466.759,82.153581
465.287,74.38979
463.816,66.907644
462.345,76.617544
460.874,80.998193
459.403,69.510834
457.932,71.128971
456.461,78.002707
454.99,79.095838
453.519,69.724348
452.048,83.781111
450.576,64.114126
449.105,68.176273
447.634,69.048288
446.163,68.987718
444.692,72.219958
443.221,74.578629
441.75,77.412805
440.279,77.587282
438.808,80.260603
437.337,82.684189
435.865,80.217256
434.394,81.563142
432.923,82.113721
431.452,83.913158
429.981,85.72701
428.51,86.513405
427.039,89.680553
425.568,88.125182
424.097,86.618707
422.626,88.814429
421.154,88.730003
419.683,90.065869
418.212,93.887564
416.741,95.868593
415.27,96.310104
413.799,101.39535
412.328,108.61427
410.857,113.14496
409.386,117.1826
407.915,120.04342
406.443,123.188
404.972,125.16315
403.501,125.90966
402.03,126.54546
400.559,126.86021
